id	Campylobacter	Clostridioides_difficile	Salmonella	Vibrio_cholerae	Yersinia_enterocolitica
Study_970	NA	1.22	NA	NA	NA
Study_973	NA	0.74	NA	NA	NA
Study_976	0.4	69.85	0.31	NA	NA
Study_979	NA	3.58	NA	NA	NA
Study_980	NA	2.61	0.04	NA	NA
Study_987	54.91	NA	2.06	NA	NA
Study_988	0.61	0.08	NA	NA	NA
Study_990	NA	0.65	0.37	NA	NA
Study_991	NA	0.25	NA	NA	NA
Study_992	6.43	0.49	0.19	NA	0.51
Study_993	NA	0.08	0.51	NA	NA
Study_996	0.13	2.3	NA	NA	NA
Study_999	28.53	0.29	NA	NA	NA
Study_1023	NA	0.61	NA	NA	NA
Study_1028	NA	0.07	0.3	NA	NA
Study_1032	NA	0.48	NA	NA	NA
Study_1042	0.88	NA	0.19	NA	NA
Study_1046	1.76	0.32	2.01	NA	NA
Study_1048	NA	1.11	NA	NA	NA
Study_1050	NA	0.38	0.56	NA	NA
Study_1054	NA	0.23	NA	NA	NA
Study_1058	3.67	0.73	NA	NA	NA
Study_1061	NA	0.14	0.77	NA	NA
Study_1063	NA	0.19	NA	NA	NA
Study_1067	5.05	6.96	NA	NA	NA
Study_1071	24.15	0.09	0.05	NA	NA
Study_1072	NA	0.15	NA	NA	NA
Study_1073	NA	2.09	NA	NA	NA
Study_1076	9.36	0.08	NA	NA	NA
Study_1080	4.61	NA	NA	NA	NA
Study_1081	NA	0.53	NA	NA	NA
Study_1084	NA	3.06	NA	NA	NA
Study_1087	NA	0.98	NA	NA	NA
Study_1088	549.2	NA	0.25	NA	NA
Study_1093	NA	13.47	NA	NA	NA
Study_1096	NA	0.83	NA	NA	NA
Study_1097	NA	0.1	0.22	NA	NA
Study_1098	NA	0.12	NA	NA	NA
Study_1099	5.69	0.06	NA	NA	NA
Study_1103	NA	1.06	NA	NA	NA
Study_1107	NA	0.12	1.36	NA	NA
Study_1111	NA	3.5	NA	NA	NA
Study_1112	NA	1.55	NA	NA	NA
Study_1116	NA	NA	NA	NA	NA
Study_1118	NA	0.11	NA	NA	NA
Study_1120	34.27	244.43	1.23	NA	NA
Study_1260	NA	0.25	NA	NA	NA
Study_1262	NA	NA	NA	NA	NA
Study_1270	NA	4.41	NA	NA	NA
Study_1274	6.93	1.61	0.32	NA	NA
Study_1279	NA	0.92	NA	NA	NA
Study_1282	10.39	1.29	NA	NA	NA
Study_1283	NA	NA	NA	NA	NA
Study_1286	NA	0.63	0.64	NA	NA
Study_1287	NA	0.43	1.32	NA	NA
Study_1296	2.29	0.84	0.48	NA	NA
Study_1299	NA	NA	0.23	NA	NA
Study_1304	NA	1.16	NA	NA	NA
Study_1309	NA	2.55	NA	NA	NA
Study_1316	NA	0.22	NA	NA	NA
Study_1318	46.92	0.18	NA	NA	NA
Study_1319	NA	NA	0.5	NA	NA
Study_1320	NA	25.38	0.3	NA	NA
Study_1321	0.9	0.09	0.36	NA	NA
Study_1322	123.22	2.55	NA	NA	NA
Study_1323	NA	1.54	NA	NA	NA
Study_1328	NA	0.73	NA	NA	NA
Study_1329	NA	5.61	NA	NA	NA
Study_1339	NA	2.18	NA	NA	NA
Study_1342	NA	NA	NA	NA	NA
Study_1351	NA	0.2	NA	NA	NA
Study_1354	NA	0.24	NA	NA	NA
Study_1357	NA	0.83	0.02	NA	NA
Study_1371	17	41.08	0.46	NA	NA
Study_1372	NA	NA	NA	NA	NA
Study_1376	NA	1.53	NA	NA	NA
Study_1379	NA	0.13	0.38	NA	NA
Study_1380	NA	2.01	NA	NA	NA
Study_1381	NA	1.04	NA	NA	NA
Study_1382	NA	1.65	NA	NA	NA
Study_1402	NA	NA	NA	NA	NA
Study_1404	NA	NA	58.96	NA	NA
Study_1405	NA	1.43	NA	NA	NA
Study_1412	1.76	13.17	0.06	NA	NA
Study_1418	NA	3.68	NA	NA	NA
Study_1419	NA	1.45	NA	NA	NA
Study_1422	NA	0.53	NA	NA	NA
Study_1423	NA	0.31	NA	NA	NA
Study_1425	NA	2.73	2.49	NA	NA
Study_1428	NA	10.46	NA	NA	NA
Study_1430	NA	1.6	NA	NA	NA
Study_1433	NA	0.46	NA	NA	NA
Study_1436	42.16	2.26	3.93	NA	NA
Study_1443	NA	0.18	NA	NA	NA
Study_1444	NA	3.17	2.67	NA	NA
Study_1454	NA	0.7	NA	NA	NA
Study_1456	117.76	0.21	NA	NA	NA
Study_1457	NA	1.65	0.08	NA	NA
Study_1458	NA	0.19	0.01	NA	NA
Study_1459	NA	1.62	NA	NA	NA
Study_1460	NA	2.42	NA	NA	NA
Study_1462	NA	0.06	NA	NA	NA
Study_1467	5.31	0.09	0.36	NA	NA
Study_1470	NA	0.2	NA	NA	NA
Study_1471	NA	10.85	3.62	NA	NA
Study_1476	NA	0.31	NA	NA	NA
Study_1477	7.48	0.43	NA	NA	NA
Study_1478	7.16	0.37	NA	NA	NA
Study_1479	NA	9.06	NA	NA	NA
Study_1483	NA	1.46	0.18	NA	NA
Study_1485	38.39	0.21	NA	NA	NA
Study_1487	NA	0.35	NA	NA	NA
Study_1490	NA	1.52	0.07	NA	NA
Study_1491	NA	0.29	0.04	NA	NA
Study_1492	16.67	NA	1.74	NA	NA
Study_1495	NA	15.99	0.06	NA	NA
Study_1498	NA	4.74	NA	NA	NA
Study_1499	NA	2.58	0.88	NA	NA
Study_1500	NA	2.27	NA	NA	NA
Study_1530	NA	NA	3.95	NA	NA
Study_1542	NA	2.84	NA	NA	NA
Study_1543	NA	0.96	0.07	NA	NA
Study_1548	NA	0.49	0.29	NA	NA
Study_1551	1.57	6.28	0.07	NA	NA
Study_1552	NA	0.74	3.24	NA	NA
Study_1553	NA	0.8	NA	NA	NA
Study_1556	NA	NA	NA	NA	NA
Study_1561	NA	0.69	NA	NA	NA
Study_1568	50.08	7.58	NA	NA	NA
Study_1569	NA	1.56	3.11	NA	NA
Study_1574	NA	0.4	6.11	NA	NA
Study_1575	NA	5.83	3.12	NA	NA
Study_1576	NA	0.05	5.19	NA	NA
Study_1578	NA	0.7	NA	NA	NA
Study_1579	NA	0.02	16.95	NA	NA
Study_1582	NA	3.9	3.2	NA	NA
Study_1585	NA	0.62	NA	NA	NA
Study_1588	NA	1.57	2.39	NA	NA
Study_1590	NA	0.57	NA	NA	NA
Study_1591	NA	0.16	1.23	NA	NA
Study_1592	NA	2.87	NA	NA	NA
Study_1593	3.44	13.73	0.46	NA	NA
Study_1594	NA	NA	1.24	NA	NA
Study_1598	NA	0.23	NA	NA	NA
Study_1602	NA	0.13	NA	NA	NA
Study_1603	NA	0.18	0.62	NA	NA
Study_1605	NA	0.03	NA	NA	NA
Study_1606	NA	0.14	NA	NA	NA
Study_1608	NA	10.23	NA	NA	NA
Study_1609	NA	0.1	NA	NA	NA
Study_1610	1.24	NA	NA	NA	NA
Study_1612	NA	14.05	0.53	NA	NA
Study_1615	NA	0.06	NA	NA	NA
Study_1617	NA	1.89	1.11	NA	NA
Study_1619	4.62	0.49	NA	NA	NA
Study_1629	NA	0.14	1.06	NA	NA
Study_1632	NA	NA	0.72	NA	NA
Study_1633	NA	NA	NA	NA	NA
Study_1637	0.66	5.99	NA	NA	NA
Study_1639	NA	0.36	1.07	NA	NA
Study_1640	NA	2.73	0.4	NA	NA
Study_1646	4.73	0.24	NA	NA	NA
Study_1651	1.82	0.21	0.19	NA	NA
Study_1652	NA	59.4	NA	NA	NA
Study_1655	NA	0.86	11.1	NA	NA
Study_1660	NA	0.15	NA	NA	NA
Study_1662	NA	NA	NA	NA	NA
Study_1663	NA	1.2	NA	NA	NA
Study_1665	NA	1.13	0.24	NA	NA
Study_1667	NA	0.2	0.9	NA	NA
Study_1668	NA	NA	NA	NA	NA
Study_1676	NA	1.5	0.02	NA	NA
Study_1678	NA	NA	2.7	NA	NA
Study_1680	NA	NA	NA	NA	NA
Study_1684	NA	0.07	0.14	NA	NA
Study_1689	5	11.83	0.7	NA	NA
Study_1690	NA	0.1	NA	NA	NA
Study_1693	NA	9.22	NA	NA	NA
Study_1694	NA	NA	NA	NA	NA
Study_1696	NA	4.07	0.14	NA	NA
Study_1697	NA	22.64	0.54	NA	NA
Study_1698	NA	0.99	NA	NA	NA
Study_1699	NA	0.25	0.46	NA	NA
Study_1701	NA	0.86	0.07	NA	NA
Study_1704	NA	0.4	NA	NA	NA
Study_1705	5.44	0.13	0.89	NA	NA
Study_1707	NA	NA	NA	NA	NA
Study_1709	NA	0.07	0.88	NA	NA
Study_1710	NA	9.73	0.72	NA	NA
Study_1712	NA	2.01	NA	NA	NA
Study_1717	3.77	6.67	NA	NA	NA
Study_1721	15.49	0.38	1.2	NA	NA
Study_1723	13.53	NA	NA	NA	NA
Study_1724	NA	0.7	2.17	NA	NA
Study_1725	NA	NA	NA	NA	NA
Study_1729	NA	0.37	NA	NA	NA
Study_1734	NA	NA	0.23	NA	NA
Study_1740	NA	0.36	NA	NA	NA
Study_1742	NA	1.11	NA	NA	NA
Study_1746	NA	NA	NA	NA	NA
Study_1749	NA	4.71	1.41	NA	NA
Study_1751	NA	1.92	0.06	NA	NA
Study_1752	NA	0.14	NA	NA	NA
Study_1754	NA	0.03	NA	NA	NA
Study_1763	NA	0.6	NA	NA	NA
Study_1766	NA	0.11	NA	NA	NA
Study_1769	1.7	NA	NA	NA	NA
Study_1771	NA	0.24	NA	NA	NA
Study_1780	NA	4.74	2.96	NA	NA
Study_1784	NA	0.12	NA	NA	NA
Study_1787	48.98	0.14	2.21	NA	NA
Study_1791	NA	1.03	NA	NA	NA
Study_1793	NA	0.51	NA	NA	NA
Study_1797	NA	1.81	NA	NA	NA
Study_1799	NA	NA	0.78	NA	NA
Study_1800	NA	0.08	NA	NA	NA
Study_1801	NA	0.93	1.14	NA	NA
Study_1807	NA	7.2	2.46	NA	NA
Study_1811	NA	0.03	0.03	NA	NA
Study_1813	NA	NA	NA	NA	NA
Study_1817	NA	1.16	4.52	NA	NA
Study_1828	NA	4.27	NA	NA	NA
Study_1830	22.74	51.28	0.11	NA	NA
Study_1835	NA	0.04	NA	NA	NA
Study_1843	NA	0.13	NA	NA	NA
Study_1844	NA	0.78	NA	NA	NA
Study_1845	3.48	0.67	NA	NA	NA
Study_1849	NA	2.36	NA	NA	NA
Study_1851	NA	4.36	NA	NA	NA
Study_1852	NA	4.17	NA	NA	NA
Study_1855	NA	0.51	0.98	NA	NA
Study_1866	3.04	0.11	NA	NA	NA
Study_1873	NA	1.85	NA	NA	NA
Study_1887	2.35	0.74	0.24	NA	NA
Study_1888	NA	0.18	NA	NA	NA
Study_1910	NA	7	NA	NA	NA
Study_1912	NA	9.76	NA	NA	NA
Study_1913	NA	5.85	0.71	NA	NA
Study_1915	NA	0.91	NA	NA	NA
Study_1916	NA	0.86	NA	NA	NA
Study_1919	NA	2.92	NA	NA	NA
Study_1921	NA	0.72	NA	NA	NA
Study_1945	NA	1.68	NA	NA	NA
Study_1949	NA	1.44	14.36	NA	NA
Study_1950	NA	1.35	0.63	NA	NA
Study_1962	NA	0.27	NA	NA	NA
Study_1968	NA	2.18	NA	NA	NA
Study_1973	NA	0.05	NA	NA	NA
Study_1982	NA	0.05	0.86	NA	NA
Study_1986	NA	0.13	NA	NA	NA
Study_1988	NA	0.34	NA	NA	NA
Study_1989	NA	0.44	0.15	NA	NA
Study_1992	NA	2.13	NA	NA	NA
Study_1995	NA	0.24	1.49	NA	NA
Study_1996	NA	0.07	NA	NA	NA
Study_1998	NA	0.56	NA	NA	NA
Study_2000	NA	1.22	NA	NA	NA
Study_2002	NA	0.85	NA	NA	NA
Study_2003	NA	1.33	0.53	NA	NA
Study_2010	NA	NA	1.25	NA	NA
Study_2012	NA	32.53	NA	NA	NA
Study_2014	NA	0.99	NA	NA	NA
Study_2016	NA	0.8	NA	NA	NA
Study_2021	NA	0.75	6.45	NA	NA
Study_2026	20.96	0.07	NA	NA	NA
Study_2211	NA	0.29	NA	NA	NA
Study_2230	NA	0.1	NA	NA	NA
Study_2237	5.14	0.38	1.69	NA	NA
Study_2251	NA	0.26	0.05	NA	NA
Study_2252	NA	22.31	NA	NA	NA
Study_2263	NA	0.37	0.22	NA	NA
Study_2265	NA	NA	NA	NA	NA
Study_2268	NA	8.23	NA	NA	NA
Study_2270	NA	NA	NA	NA	NA
Study_2271	NA	1.86	0.26	NA	NA
Study_2272	NA	NA	NA	NA	NA
Study_2274	NA	2.22	NA	NA	NA
Study_2278	NA	1.72	NA	NA	NA
Study_2279	NA	0.89	NA	NA	NA
Study_2320	NA	0.64	NA	NA	NA
Study_2327	163.99	NA	NA	NA	NA
Study_2330	NA	2.84	NA	NA	NA
Study_2333	NA	1.38	0.15	NA	NA
Study_3015	NA	0.38	7.05	NA	NA
Study_3018	2.17	0.08	3.44	NA	NA
Study_3074	1.4	NA	0.33	NA	NA
Study_3103	3.41	0.26	NA	NA	NA
Study_3111	NA	0.08	NA	NA	NA
Study_3168	NA	0.15	NA	NA	NA
Study_3169	NA	1.08	NA	NA	NA
Study_3171	NA	0.03	NA	NA	NA
Study_3172	NA	0.81	7.17	NA	NA
Study_3192	NA	NA	NA	NA	NA
Study_3193	NA	0.19	NA	NA	NA
Study_3195	14.87	1.35	NA	NA	NA
Study_3204	78.83	1.33	NA	NA	NA
Study_3212	1.11	NA	NA	NA	NA
Study_3213	NA	NA	NA	NA	NA
Study_3214	NA	0.25	4.63	NA	NA
Study_3215	92.43	NA	9.68	NA	NA
Study_3219	1.59	NA	0.15	NA	NA
Study_3220	6.19	0.61	2.68	NA	NA
Study_3221	NA	0.33	NA	NA	NA
Study_3223	NA	NA	NA	NA	NA
Study_3224	NA	0.43	NA	NA	NA
Study_3225	24.43	0.43	NA	NA	NA
Study_3227	19.82	0.35	NA	NA	NA
Study_3246	NA	0.19	4.47	NA	NA
Study_3247	NA	NA	NA	NA	NA
Study_3252	NA	0.12	NA	NA	NA
Study_3253	NA	0.17	NA	NA	NA
Study_3255	NA	0.56	NA	NA	NA
Study_3257	NA	0.29	NA	NA	NA
Study_3258	22.86	5.82	3.01	NA	NA
Study_3261	NA	NA	NA	NA	NA
Study_3265	NA	0.47	NA	NA	NA
Study_3266	NA	NA	NA	NA	NA
Study_3268	NA	0.18	NA	NA	NA
Study_3272	NA	NA	NA	NA	NA
Study_3292	NA	NA	0.6	NA	NA
Study_3317	3.9	0.17	3.58	NA	NA
Study_3330	NA	3.6	NA	NA	NA
Study_3343	NA	0.63	NA	NA	NA
Study_3355	NA	0.06	NA	NA	NA
Study_3356	3.02	0.31	NA	NA	NA
Study_3357	6.95	1.64	NA	NA	NA
Study_3359	NA	0.17	NA	NA	NA
Study_3363	6.04	3.86	0.27	NA	NA
Study_3364	NA	0.95	NA	NA	NA
Study_3367	NA	NA	1.79	NA	NA
Study_3402	NA	39.35	NA	NA	NA
Study_3405	NA	2.01	NA	NA	NA
Study_3406	NA	0.26	0.41	NA	NA
Study_3461	NA	NA	NA	NA	NA
Study_3505	NA	0.18	2.41	NA	NA
Study_3513	NA	0.06	NA	NA	NA
Study_3695	NA	0.16	NA	NA	NA
Study_3710	NA	NA	NA	NA	NA
Study_3711	NA	0.17	NA	NA	NA
Study_3801	NA	0.29	NA	NA	NA
Study_3803	NA	0.28	NA	NA	NA
Study_3804	13.11	0.1	4.46	NA	NA
Study_3805	0.17	NA	NA	NA	NA
Study_3812	NA	NA	NA	NA	NA
Study_3814	2.28	2.83	2.39	NA	NA
Study_3815	NA	0.59	NA	NA	NA
Study_3816	NA	NA	1.5	NA	NA
Study_3963	NA	0.02	NA	NA	NA
Study_3968	NA	0.27	NA	NA	NA
Study_3971	0.73	0.13	NA	NA	NA
Study_3972	2.61	0.06	NA	NA	NA
Study_3978	NA	NA	4.2	0.14	0.06
Study_3980	NA	1.01	NA	NA	NA
Study_3985	NA	1.11	2.43	NA	NA
Study_3988	NA	NA	NA	NA	NA
Study_3989	NA	0.47	NA	NA	NA
Study_3990	5.69	0.29	NA	NA	NA
Study_4001	NA	1.3	11.83	NA	NA
Study_4005	4.53	NA	NA	NA	NA
Study_4006	NA	0.08	4.5	NA	NA
Study_4007	NA	0.18	NA	NA	NA
Study_4012	2.79	0.72	NA	NA	NA
Study_4013	0.18	0.21	NA	NA	NA
Study_4015	NA	NA	NA	NA	NA
Study_4021	7.62	0.66	NA	NA	NA
Study_4027	NA	0.16	5.98	NA	NA
Study_4028	NA	0.2	NA	NA	NA
Study_4029	NA	5.05	0.59	NA	NA
Study_4035	NA	0.21	NA	NA	NA
Study_4037	NA	0.42	NA	NA	NA
Study_4038	NA	NA	0.16	NA	NA
Study_4081	NA	0.61	NA	NA	NA
Study_4086	NA	0.97	0.96	NA	NA
Study_4098	21.18	0.99	NA	NA	NA
Study_4100	0.52	0.44	NA	NA	NA
Study_4109	NA	8.64	0.03	NA	NA
Study_4114	NA	NA	NA	NA	NA
Study_4120	NA	0.1	NA	NA	NA
Study_4126	NA	0.46	6.55	NA	NA
Study_4128	NA	1.08	NA	NA	NA
Study_4137	NA	NA	0.16	NA	NA
Study_4147	NA	0.29	NA	NA	NA
Study_4151	4.43	NA	0.39	NA	NA
Study_4253	NA	NA	NA	NA	NA
Study_4277	NA	0.23	NA	NA	NA
Study_4280	1.52	0.2	NA	NA	NA
Study_4310	NA	NA	9.99	NA	NA
Study_4321	NA	0.17	NA	NA	NA
Study_4335	NA	0.08	NA	NA	NA
Study_4340	NA	8.05	NA	NA	NA
Study_4341	NA	0.08	NA	NA	NA
Study_4353	3.07	1.35	NA	NA	NA
Study_4358	3.12	0.15	NA	NA	NA
Study_4369	NA	0.01	6.39	NA	NA
Study_4380	NA	1.68	NA	NA	NA
Study_4411	NA	NA	NA	NA	NA
Study_4416	NA	1.61	NA	NA	NA
Study_4420	0.68	0.63	NA	NA	NA
Study_4423	NA	0.06	NA	NA	NA
Study_4426	NA	0.12	NA	NA	NA
Study_4430	NA	0.17	NA	NA	NA
Study_4437	2.36	0.77	0.11	NA	NA
Study_4438	NA	3.46	2.81	NA	NA
Study_4446	NA	0.07	NA	NA	NA
Study_4470	NA	8.28	0.89	NA	NA
Study_4510	NA	0.62	0.6	NA	NA
Study_4516	NA	0.53	1.22	NA	NA
Study_4518	1.4	0.11	0.98	NA	NA
Study_4520	NA	0.14	0.27	NA	NA
Study_4523	NA	0.12	NA	NA	NA
Study_4524	NA	0.65	1.39	NA	NA
Study_4526	2.97	168.78	0.11	NA	NA
Study_4531	NA	1.24	2.08	NA	NA
Study_4533	NA	0.06	4.87	NA	NA
Study_4545	3.9	0.14	NA	NA	NA
Study_4548	NA	0.1	0.61	NA	NA
Study_4553	3.8	0.25	1.93	NA	NA
Study_4560	27.75	0.41	NA	NA	NA
Study_4562	NA	0.09	0.46	NA	NA
Study_4564	NA	NA	1.76	NA	NA
Study_4579	NA	4.11	3.21	NA	NA
